证监会行业门类代码_Csrciccd1,证监会行业门类名称_Csrcicnm1,日期_Date,月交易天数_Montrds,行业月收益率_等权_Mreteq,
"A","农、林、牧、渔业",2010-01-29,"20","-0.0070"
"A","农、林、牧、渔业",2010-02-26,"15","0.0729"
"A","农、林、牧、渔业",2010-03-31,"23","-0.0124"
"A","农、林、牧、渔业",2010-04-30,"21","-0.0488"
"A","农、林、牧、渔业",2010-05-31,"20","-0.0697"
"A","农、林、牧、渔业",2010-06-30,"19","-0.1056"
"A","农、林、牧、渔业",2010-07-30,"22","0.1457"
"A","农、林、牧、渔业",2010-08-31,"22","0.1402"
"A","农、林、牧、渔业",2010-09-30,"19","0.0302"
"A","农、林、牧、渔业",2010-10-29,"16","0.0826"
"A","农、林、牧、渔业",2010-11-30,"22","0.0092"
"A","农、林、牧、渔业",2010-12-31,"23","-0.0123"
"A","农、林、牧、渔业",2011-01-31,"20","-0.0730"
"A","农、林、牧、渔业",2011-02-28,"15","0.1093"
"A","农、林、牧、渔业",2011-03-31,"23","-0.0604"
"A","农、林、牧、渔业",2011-04-29,"19","-0.0357"
"A","农、林、牧、渔业",2011-05-31,"21","-0.0418"
"A","农、林、牧、渔业",2011-06-30,"21","0.0128"
"A","农、林、牧、渔业",2011-07-29,"21","0.0582"
"A","农、林、牧、渔业",2011-08-31,"23","0.0148"
"A","农、林、牧、渔业",2011-09-30,"21","-0.1489"
"A","农、林、牧、渔业",2011-10-31,"16","0.0519"
"A","农、林、牧、渔业",2011-11-30,"22","0.0139"
"A","农、林、牧、渔业",2011-12-30,"22","-0.1694"
"A","农、林、牧、渔业",2012-01-31,"15","-0.0105"
"A","农、林、牧、渔业",2012-02-29,"21","0.1337"
"A","农、林、牧、渔业",2012-03-30,"22","-0.1064"
"A","农、林、牧、渔业",2012-04-27,"17","0.0810"
"A","农、林、牧、渔业",2012-05-31,"22","0.0220"
"A","农、林、牧、渔业",2012-06-29,"20","-0.0644"
"A","农、林、牧、渔业",2012-07-31,"22","-0.0741"
"A","农、林、牧、渔业",2012-08-31,"23","0.0213"
"A","农、林、牧、渔业",2012-09-28,"20","0.0075"
"A","农、林、牧、渔业",2012-10-31,"18","-0.0212"
"A","农、林、牧、渔业",2012-11-30,"22","-0.0964"
"A","农、林、牧、渔业",2012-12-31,"21","0.1768"
"A","农、林、牧、渔业",2013-01-31,"20","0.0886"
"A","农、林、牧、渔业",2013-02-28,"15","0.0061"
"A","农、林、牧、渔业",2013-03-29,"21","-0.0755"
"A","农、林、牧、渔业",2013-04-26,"18","-0.0513"
"A","农、林、牧、渔业",2013-05-31,"22","0.1240"
"A","农、林、牧、渔业",2013-06-28,"17","-0.1865"
"A","农、林、牧、渔业",2013-07-31,"23","0.0449"
"A","农、林、牧、渔业",2013-08-30,"22","0.0978"
"A","农、林、牧、渔业",2013-09-30,"19","0.0867"
"A","农、林、牧、渔业",2013-10-31,"18","-0.0027"
"A","农、林、牧、渔业",2013-11-29,"21","0.1220"
"A","农、林、牧、渔业",2013-12-31,"22","-0.0562"
"A","农、林、牧、渔业",2014-01-30,"21","-0.0721"
"A","农、林、牧、渔业",2014-02-28,"16","0.0261"
"A","农、林、牧、渔业",2014-03-31,"21","-0.0279"
"A","农、林、牧、渔业",2014-04-30,"21","0.0080"
"A","农、林、牧、渔业",2014-05-30,"20","0.0193"
"A","农、林、牧、渔业",2014-06-30,"20","0.0093"
"A","农、林、牧、渔业",2014-07-31,"23","0.1030"
"A","农、林、牧、渔业",2014-08-29,"21","0.0581"
"A","农、林、牧、渔业",2014-09-30,"21","0.1978"
"A","农、林、牧、渔业",2014-10-31,"18","-0.0193"
"A","农、林、牧、渔业",2014-11-28,"20","0.0539"
